CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"9212","CPSC 495","1","Sp Tpc: Intro to Robotics","3","","Lec","MWF","1500-1550","LUTR 347","Conner, D C.","4","Open",
"8660","CPSC 498","1","Capstone Project-Comp Science","3","","Lec","TR","1100-1215","LUTR 258","Koehl, A","7","Open",
"8253","CPSC 502","1","Communications I","3","","Lec","MWF","1000-1050","LUTR 323","Riedl, A ","10","Open",
"8254","CPSC 521","1","Computer Architecture","3","","Lec","TR","1330-1445","LUTR 372","Gerousis, C P.","6","Open",
"8255","CPSC 525","1","Obj Oriented Program &amp; Design","3","","Lec","TR","1930-2045","LUTR 258","Flores, R","4","Open",
"8256","CPSC 550","1","Distributed Operating Systems","3","","Lec","MWF","0900-0950","LUTR 323","Zhang, M","2","Open",
"9205","CPSC 575","1","Mobile Computing","3","","Lec","TR","1630-1745","LUTR 258","Perkins, K ","9","Open",
"9223","CPSC 599","1","Ind St: Adv Crypto/Network Sec","3","","Ind","","","ARR ","Collins, M","0","Closed",
"9445","CPSC 599","2","Ind St: D3 Development","1 - 4","","Ind","","","ARR ","Heddle, D P.","0","Closed",
"8563","DANC 204","1","Ballet I","3","  AICE","Lec","TR","0930-1045","FERG T177","McCall, C ","0","Closed",
"8564","DANC 204","2","Ballet I","3","  AICE","Lec","TR","1100-1215","FERG T177","McCall, C ","0","Closed",
"8565","DANC 205","1","Classic Jazz Technique","3","  AICE","Lec","MW","1600-1715","FERG T177","Lent, J K.","1","Open",
"8566","DANC 205","2","Classic Jazz Technique","3","  AICE","Lec","TR","1330-1445","FERG T177","Lloyd, L","0","Closed",
"8567","DANC 206","1","Modern Dance I","3","  AICE","Lec","MW","0930-1045","FERG T177","Mazzocca, A","1","Open",
"8568","DANC 304","1","Ballet II","3","","Lec","TR","1500-1615","FERG T177","Lloyd, L A.","1","Open",
"8569","DANC 340","1","Dance Hist &amp; Contemporary Pers","3","","Lec","TR","0930-1045","FERG 221","Mazzocca, A","9","Open",
"8570","DANC 360","1","Afro-Caribbean","3","  AIGM","Lec","MW","1100-1215","FERG T177","Mazzocca, A","0","Closed",
"8571","DANC 430","1","Advanced Dance Styles","3","","Lec","MW","1300-1415","FERG T177","Lloyd, L","0","Closed",
"8053","ECON 200","1","The Economic Way of Thinking","3","","Lec","MWF","0900-0950","FORBES 2070C","Taghvatalab, S","0","Closed",
"8054","ECON 200","2","The Economic Way of Thinking","3","","Lec","MWF","1000-1050","FORBES 2070C","Taghvatalab, S","0","Closed",
"8055","ECON 200","3","The Economic Way of Thinking","3","","Lec","MWF","1200-1250","LUTR 139","Kotula, G","0","Closed",
"8056","ECON 200","4","The Economic Way of Thinking","3","","Lec","MW","1600-1715","LUTR 139","Kotula, G","0","Closed",
"8057","ECON 201","1","Principles of Macroeconomics","3","  AIII","Lec","MWF","1100-1150","LUTR 170","O&#39;Reilly, P G.","0","Closed",
"8058","ECON 201","2","Principles of Macroeconomics","3","  AIII","Lec","TR","0930-1045","LUTR 121","O&#39;Reilly, P","0","Closed",
"8059","ECON 201","3","Principles of Macroeconomics","3","  AIII","Lec","MWF","1300-1350","LUTR 121","Kotula, G L.","0","Closed",
"8060","ECON 201","4","Principles of Macroeconomics","3","  AIII","Lec","T","1800-2045","LUTR 139","Guha, S ","0","Closed",
"8061","ECON 201","5","Principles of Macroeconomics","3","  AIII","Lec","W","1800-2045","LUTR 139","Guha, S ","0","Closed",
"8062","ECON 202","1","Principles of Microeconomics","3","  AIII","Lec","TR","1330-1445","LUTR 121","Taghvatalab, S ","4","Open",
"8071","ECON 202","10","Principles of Microeconomics","3","  AIII","Lec","R","1800-2045","LUTR 137","Cann-Tamakloe, R ","4","Open",
"8063","ECON 202","2","Principles of Microeconomics","3","  AIII","Lec","MWF","1400-1450","MCM 262","Zestos, G K.","0","Closed",
"8064","ECON 202","3","Principles of Microeconomics","3","  AIII","Lec","MWF","1500-1550","MCM 262","Zestos, G K.","1","Open",
"8065","ECON 202","4","Principles of Microeconomics","3","  AIII","Lec","M","1800-2045","LUTR 139","Mashayekh, A ","0","Closed",
"8066","ECON 202","5","Principles of Microeconomics","3","  AIII","Lec","TR","0930-1045","MCM 101","Yu, J","0","Closed",
"8067","ECON 202","6","Principles of Microeconomics","3","  AIII","Lec","TR","1630-1745","LUTR 139","Yu, J","0","Closed",
"8068","ECON 202","7","Principles of Microeconomics","3","  AIII","Lec","T","1800-2045","LUTR 137","Cann-Tamakloe, R ","0","Closed",
"8069","ECON 202","8","Principles of Microeconomics","3","  AIII","Lec","W","1800-2045","LUTR 137","Yu, J","0","Closed",
"8070","ECON 202","9","Principles of Microeconomics","3","  AIII","Lec","R","1800-2045","LUTR 139","Harford, J B.","0","Closed",
"9196","ECON 301","1","Environmental Economics","3","","Lec","MW","1600-1715","LUTR 264","O&#39;Reilly, P G.","0","Closed",
"8072","ECON 303","1","Intrm Microeconomic Analysis","3","  AIII","Lec","TR","1100-1215","LUTR 347","Taylor, T K.","0","Closed",
"8073","ECON 303","2","Intrm Microeconomic Analysis","3","  AIII","Lec","TR","1500-1615","LUTR 139","Taylor, T","0","Closed",
"8075","ECON 375","1","Indus Organ &amp; Public Policy","3","","Lec","MWF","1400-1450","LUTR 242","Vachris, M","0","Closed",
"8078","ECON 470","1","International Trade/Finance","3","","Lec","MW","1800-1915","MCM 216","Zestos, G K.","0","Closed",
"9195","ECON 475","1","Money and Banking","3","  AIII","Lec","MWF","1000-1050","LUTR 137","Winder, R ","0","Closed",
"8079","ECON 480","1","Internship in Economics","3","","Int","","","ARR ","Winder, R","0","Closed",
"8080","ECON 490","W1","WI:Senior Seminar in Economics","3","  WI","Lec","MWF","1100-1150","LUTR 137","Vachris, M","0","Closed",
"8081","ECON 490","W2","WI:Senior Seminar in Economics","3","  WI","Lec","MWF","1200-1250","LUTR 137","Vachris, M","0","Closed",
"9312","ECON 499","1","Independent Study in Econ","1 - 3","","Ind","","","ARR ","Vachris, M","0","Closed",
"8661","EENG 221","1","Signals and Systems","3","","Lec","MWF","1100-1150","LUTR 206","Backens, J","14","Open",
"8393","ENGL 123","1","First-Year Writing Seminar","3","  LLF","Lec","MWF","1200-1250","MCM 314","Barclay, R ","0","Closed",
"8402","ENGL 123","10","First-Year Writing Seminar","3","  LLF","Lec","MWF","1100-1150","MCM 162","Healy, M","0","Closed",
"8403","ENGL 123","11","First-Year Writing Seminar","3","  LLF","Lec","MWF","1100-1150","MCM 307","Hopkins, P","1","Open",
"8404","ENGL 123","12","First-Year Writing Seminar","3","  LLF","Lec","MWF","0900-0950","MCM 112","Hopkins, P","0","Closed",
"8405","ENGL 123","13","First-Year Writing Seminar","3","  LLF","Lec","TR","1330-1445","MCM 207","Shortsleeve, K","4","Open",
"8406","ENGL 123","14","First-Year Writing Seminar","3","  LLF","Lec","TR","1100-1215","MCM 207","Lee, T","1","Open",
"8407","ENGL 123","15","First-Year Writing Seminar","3","  LLF","Lec","TR","1800-1915","MCM 207","McClain, H","2","Open",
"8408","ENGL 123","16","First-Year Writing Seminar","3","  LLF","Lec","MWF","1200-1250","MCM 200C","Rose, A ","1","Open",
"8409","ENGL 123","17","First-Year Writing Seminar","3","  LLF","Lec","TR","1800-1915","MCM 257","Sanchez, J","4","Open",
"8410","ENGL 123","18","First-Year Writing Seminar","3","  LLF","Lec","TR","0930-1045","MCM 257","Stewart, N","0","Closed",
"8394","ENGL 123","2","First-Year Writing Seminar","3","  LLF","Lec","MWF","1400-1450","MCM 207","Barclay, R","0","Closed",
"8412","ENGL 123","20","First-Year Writing Seminar","3","  LLF","Lec","MWF","0900-0950","MCM 307","Carney, J","0","Closed",
"8413","ENGL 123","21","First-Year Writing Seminar","3","  LLF","Lec","MWF","1100-1150","MCM 314","Carney, J","0","Closed",
"8414","ENGL 123","22","First-Year Writing Seminar","3","  LLF","Lec","",""," ","","0","Closed",
"8415","ENGL 123","23","First-Year Writing Seminar","3","  LLF","Lec","MWF","1400-1450","MCM 316","Pollard, S","5","Open",
"8416","ENGL 123","24","First-Year Writing Seminar","3","  LLF","Lec","TR","0930-1045","MCM 307","LaPointe, C","1","Open",
"8417","ENGL 123","25","First-Year Writing Seminar","3","  LLF","Lec","TR","1330-1445","MCM 307","Carney, J","0","Closed",
"8418","ENGL 123","26","First-Year Writing Seminar","3","  LLF","Lec","TR","1100-1215","MCM 307","Stewart, N","1","Open",
"8419","ENGL 123","27","First-Year Writing Seminar","3","  LLF","Lec","MW","1600-1715","MCM 207","Wright, M","4","Open",
"8395","ENGL 123","3","First-Year Writing Seminar","3","  LLF","Lec","TR","1500-1615","MCM 200B","Anderson, A ","5","Open",
"8396","ENGL 123","4","First-Year Writing Seminar","3","  LLF","Lec","MWF","1100-1150","MCM 207","Bunch, I","0","Closed",
"8398","ENGL 123","6","First-Year Writing Seminar","3","  LLF","Lec","MWF","1100-1150","MCM 112","Cornette Jr, J","6","Open",
"8399","ENGL 123","7","First-Year Writing Seminar","3","  LLF","Lec","MWF","1300-1350","MCM 300D","Pollard, S ","7","Open",
"8401","ENGL 123","9","First-Year Writing Seminar","3","  LLF","Lec","MWF","1000-1050","MCM 207","Healy, M","0","Closed",
"8420","ENGL 200","1","Lit Foundation I:Ancient-17thC","3","","Lec","MWF","1200-1250","MCM 162","Marinova, M","3","Open",
"8421","ENGL 201","1","Lit Foundation II:18thC-mid 19","3","","Lec","TR","0930-1045","MCM 360","Rose, A","0","Closed",
"8422","ENGL 202","1","Lit Foundation III: Mid 19thC-","3","","Lec","TR","0930-1045","MCM 210","Carney, J","1","Open",
"8424","ENGL 223","1","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1300-1350","MCM 207","Bunch, I","1","Open",
"8433","ENGL 223","10","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1400-1450","MCM 314","Davis, C","0","Closed",
"8434","ENGL 223","11","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1200-1250","MCM 207","Bunch, I W.","1","Open",
"8435","ENGL 223","12","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1300-1350","MCM 307","Healy, M","0","Closed",
"8436","ENGL 223","13","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1400-1450","MCM 307","Healy, M","0","Closed",
"8438","ENGL 223","15","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MWF","1300-1350","MCM 314","Marinova, M","0","Closed",
"8440","ENGL 223","17","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","TR","1330-1445","MCM 362","Cornette Jr, J A","0","Closed",
"8441","ENGL 223","18","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","MW","1800-1915","MCM 362","Rodden, D","0","Closed",
"8425","ENGL 223","2","2nd Yr Writ Sem:Lit, Res, Writ","3","  LLF","Lec","TR","1100-1215","MCM 357","Cornette Jr, J A","0","Closed",
